,step,episode reward,accuracy,100 eps mean,time
198,6914.0,531.0,96.4,53.8,605.980000
199,6924.0,8.0,96.38,53.8,606.690000
200,7332.0,406.0,96.61,57.7,638.770000
201,7359.0,25.0,96.6,57.7,640.730000
202,7393.0,32.0,96.6,57.9,643.750000
203,7634.0,239.0,96.71,60.2,663.210000
204,7735.0,99.0,96.75,61.0,672.530000
205,8068.0,331.0,96.89,64.0,699.030000
206,8125.0,55.0,96.9,64.4,703.650000
207,8636.0,509.0,97.1,69.3,742.170000
208,8778.0,140.0,97.14,70.6,753.530000
209,8848.0,68.0,97.15,70.9,758.550000
210,9049.0,199.0,97.21,72.8,772.940000
211,9137.0,86.0,97.23,73.5,779.270000
212,9331.0,192.0,97.28,75.2,793.120000
213,9378.0,45.0,97.28,75.4,797.430000
214,9564.0,184.0,97.33,77.2,811.050000
215,9835.0,269.0,97.41,79.6,830.470000
216,9965.0,128.0,97.43,80.8,839.820000
217,10110.0,143.0,97.46,82.1,850.210000
218,10118.0,6.0,97.45,82.0,850.810000
219,10126.0,6.0,97.44,82.0,851.390000
220,10238.0,110.0,97.46,83.0,859.490000
221,10250.0,10.0,97.45,82.9,860.370000
222,10258.0,6.0,97.44,82.9,860.950000
223,10289.0,29.0,97.43,83.0,863.170000
224,10297.0,6.0,97.42,82.8,863.760000
225,10417.0,118.0,97.44,83.9,872.410000
226,10427.0,8.0,97.43,83.3,873.140000
227,10606.0,177.0,97.47,84.9,886.070000
228,10812.0,204.0,97.51,86.9,902.100000
229,10821.0,7.0,97.5,86.7,902.760000
230,10843.0,20.0,97.5,86.7,904.380000
231,10940.0,95.0,97.51,87.4,913.500000
232,11066.0,124.0,97.53,88.3,922.870000
233,11200.0,132.0,97.55,89.0,932.540000
234,11259.0,57.0,97.56,89.5,936.830000
235,11493.0,232.0,97.6,91.7,953.680000
236,11559.0,64.0,97.61,92.2,958.410000
237,11612.0,51.0,97.61,92.4,962.210000
238,11650.0,36.0,97.6,92.7,964.990000
239,11708.0,56.0,97.61,93.1,969.130000
240,11836.0,126.0,97.63,93.7,978.370000
241,12108.0,270.0,97.68,96.3,997.970000
242,12351.0,241.0,97.72,98.2,1015.440000
243,12364.0,11.0,97.71,98.3,1016.400000
244,12507.0,141.0,97.73,99.6,1026.680000
245,12551.0,42.0,97.73,99.4,1029.830000
246,12593.0,40.0,97.73,99.2,1032.890000
247,12669.0,74.0,97.73,99.8,1038.340000
248,12762.0,91.0,97.74,100.6,1045.050000
249,12838.0,74.0,97.75,101.0,1050.520000
250,13194.0,354.0,97.81,104.4,1077.340000
251,13391.0,195.0,97.83,105.7,1091.500000
252,13456.0,63.0,97.84,105.8,1096.180000
253,13659.0,201.0,97.86,107.7,1110.740000
254,13699.0,38.0,97.86,107.2,1113.710000
255,13742.0,41.0,97.86,107.5,1116.820000
256,13752.0,8.0,97.85,107.4,1117.520000
257,13762.0,8.0,97.84,106.9,1118.250000
258,14274.0,510.0,97.92,110.5,1155.060000
259,14636.0,360.0,97.97,113.4,1181.090000
260,15248.0,610.0,98.06,119.4,1225.100000
261,15472.0,222.0,98.08,118.5,1241.250000
262,15623.0,149.0,98.09,119.9,1252.110000
263,15747.0,122.0,98.1,121.0,1261.040000
264,15756.0,7.0,98.09,120.9,1261.670000
265,15928.0,170.0,98.11,122.4,1274.110000
266,16035.0,105.0,98.12,123.3,1281.850000
267,16364.0,327.0,98.15,126.2,1305.560000
268,16468.0,102.0,98.16,126.8,1313.010000
269,16779.0,309.0,98.19,129.6,1335.490000
270,17013.0,232.0,98.21,131.6,1352.420000
271,17137.0,122.0,98.21,132.6,1361.360000
272,17429.0,290.0,98.24,135.2,1382.300000
273,17788.0,357.0,98.27,136.5,1408.080000
274,17854.0,64.0,98.27,136.1,1412.800000
275,19250.0,1394.0,98.41,149.8,1513.310000
276,19380.0,128.0,98.41,150.3,1522.670000
277,20047.0,665.0,98.46,156.2,1570.700000
278,20144.0,95.0,98.47,157.0,1577.690000
279,20850.0,704.0,98.52,162.2,1628.490000
280,20862.0,10.0,98.51,162.0,1629.370000
281,21012.0,148.0,98.52,163.3,1640.150000
282,21038.0,24.0,98.52,161.9,1642.080000
283,21324.0,284.0,98.53,162.6,1662.640000
284,21804.0,478.0,98.56,166.4,1698.920000
285,22002.0,196.0,98.57,166.5,1715.170000
286,22468.0,464.0,98.6,171.0,1754.400000
287,22634.0,164.0,98.6,172.1,1768.520000
288,22713.0,77.0,98.6,172.5,1775.010000
289,22782.0,67.0,98.6,172.4,1780.870000
290,22853.0,69.0,98.6,170.6,1787.200000
