,episode steps,episode reward,accuracy
318,14411,-100.0,97.79
319,14430,-82.0,97.78
320,14455,-76.0,97.78
321,14500,-56.0,97.78
322,14535,-66.0,97.78
323,14687,51.0,97.79
324,14782,-6.0,97.8
325,14783,-100.0,97.79
326,14853,-31.0,97.8
327,14854,-100.0,97.79
328,14864,-91.0,97.79
329,14991,26.0,97.8
330,15121,29.0,97.81
331,15139,-83.0,97.81
332,15168,-72.0,97.8
333,15204,-65.0,97.8
334,15288,-17.0,97.81
335,15311,-78.0,97.81
336,15351,-61.0,97.8
337,15386,-66.0,97.8
338,15387,-100.0,97.8
339,15468,-20.0,97.8
340,15469,-100.0,97.8
341,15471,-99.0,97.79
342,16026,454.0,97.86
343,16462,335.0,97.91
344,16687,124.0,97.93
345,16958,170.0,97.96
346,17005,-54.0,97.96
347,17040,-66.0,97.96
348,17075,-66.0,97.96
349,17124,-52.0,97.96
350,17193,-32.0,97.96
351,17250,-44.0,97.96
352,17462,111.0,97.98
353,17483,-80.0,97.97
354,17487,-97.0,97.97
355,17547,-41.0,97.97
356,17560,-88.0,97.97
357,17912,251.0,98.0
358,18035,22.0,98.01
359,18046,-90.0,98.0
360,18047,-100.0,98.0
361,18083,-65.0,98.0
362,18175,-9.0,98.0
363,18322,46.0,98.01
364,18338,-85.0,98.01
365,18339,-100.0,98.0
366,18366,-74.0,98.0
367,18369,-98.0,98.0
368,18377,-93.0,97.99
369,18393,-85.0,97.99
370,18403,-91.0,97.98
371,18447,-57.0,97.98
372,18494,-54.0,97.98
373,18661,66.0,98.0
374,18721,-41.0,98.0
375,18908,86.0,98.01
376,19138,129.0,98.03
377,19139,-100.0,98.02
378,19212,-28.0,98.03
379,19417,104.0,98.04
380,19418,-100.0,98.04
381,19444,-75.0,98.04
382,19472,-73.0,98.03
383,19503,-70.0,98.03
384,19605,1.0,98.04
385,19719,13.0,98.04
386,19820,0.0,98.05
387,19931,10.0,98.05
388,19982,-50.0,98.05
389,20218,135.0,98.07
390,20219,-100.0,98.07
391,20252,-68.0,98.06
392,20269,-84.0,98.06
393,20281,-89.0,98.06
394,20534,152.0,98.08
395,20971,336.0,98.11
396,21111,39.0,98.12
397,21413,201.0,98.14
398,21442,-72.0,98.14
399,21844,301.0,98.17
400,21905,-40.0,98.17
401,21906,-100.0,98.16
402,21928,-79.0,98.16
403,22325,296.0,98.19
404,22326,-100.0,98.19
405,22333,-94.0,98.18
406,22377,-57.0,98.18
407,22441,-37.0,98.18
408,22508,-34.0,98.18
409,22612,3.0,98.19
410,22624,-89.0,98.18
411,22632,-93.0,98.18
412,22636,-97.0,98.18
413,23028,291.0,98.2
414,23264,135.0,98.22
415,23265,-100.0,98.21
