,step,episode reward,accuracy,100 eps mean,time
241,14939.0,270.0,98.17,106.9,2247.040000
242,15136.0,195.0,98.19,108.5,2276.910000
243,15524.0,386.0,98.23,111.7,2335.750000
244,16175.0,649.0,98.31,116.5,2433.680000
245,16370.0,193.0,98.32,117.2,2463.200000
246,16782.0,410.0,98.36,121.2,2526.440000
247,16831.0,47.0,98.36,121.4,2533.890000
248,16942.0,109.0,98.36,121.8,2550.660000
249,16950.0,6.0,98.36,120.2,2551.900000
250,17092.0,140.0,98.36,121.4,2573.490000
251,17107.0,13.0,98.36,119.7,2575.760000
252,17189.0,80.0,98.36,119.4,2588.050000
253,17297.0,106.0,98.36,120.3,2604.330000
254,17307.0,8.0,98.36,119.5,2605.880000
255,17371.0,62.0,98.36,119.9,2615.830000
256,17452.0,79.0,98.36,120.5,2628.350000
257,17597.0,143.0,98.37,119.8,2650.590000
258,17635.0,36.0,98.36,120.0,2656.290000
259,17652.0,15.0,98.36,119.9,2658.830000
260,17756.0,102.0,98.36,120.4,2674.480000
261,17782.0,24.0,98.36,120.2,2678.490000
262,17821.0,37.0,98.35,120.4,2684.400000
263,17884.0,61.0,98.35,120.8,2693.900000
264,18055.0,169.0,98.36,122.4,2719.810000
265,18090.0,33.0,98.36,122.1,2725.130000
266,18111.0,19.0,98.36,121.6,2728.400000
267,18227.0,114.0,98.36,122.6,2745.870000
268,18627.0,398.0,98.39,125.9,2806.180000
269,18683.0,54.0,98.39,126.2,2814.760000
270,18692.0,7.0,98.39,126.2,2816.150000
271,18737.0,43.0,98.38,124.5,2822.910000
272,18898.0,159.0,98.39,125.9,2847.170000
273,18926.0,26.0,98.39,125.2,2851.460000
274,18947.0,19.0,98.38,124.6,2854.660000
275,19300.0,351.0,98.41,127.5,2908.020000
276,19319.0,17.0,98.41,126.1,2910.960000
277,19399.0,78.0,98.41,125.8,2923.050000
278,19557.0,156.0,98.42,127.2,2946.800000
279,19717.0,158.0,98.42,127.4,2970.710000
280,19959.0,240.0,98.44,128.0,3006.790000
281,20008.0,47.0,98.44,128.3,3014.120000
282,20662.0,652.0,98.49,132.7,3113.340000
283,20674.0,10.0,98.48,132.4,3115.170000
284,20806.0,130.0,98.49,132.8,3134.950000
285,20814.0,6.0,98.48,132.7,3136.160000
286,21192.0,376.0,98.5,135.9,3193.450000
287,21240.0,46.0,98.5,132.1,3200.630000
288,21494.0,252.0,98.52,128.6,3238.890000
