,step,episode reward,accuracy,100 eps mean,time
262,11312.0,117.0,97.22,78.0,1377.880000
263,11534.0,220.0,97.27,80.0,1405.010000
264,11583.0,47.0,97.28,80.3,1411.090000
265,11602.0,17.0,97.27,80.2,1413.500000
266,11766.0,162.0,97.3,81.7,1433.520000
267,11834.0,66.0,97.31,82.2,1441.850000
268,12092.0,256.0,97.37,82.6,1473.560000
269,12119.0,25.0,97.36,82.5,1476.910000
270,12146.0,25.0,97.36,82.4,1480.240000
271,12157.0,9.0,97.35,82.0,1481.610000
272,12457.0,298.0,97.41,84.0,1518.410000
273,12491.0,32.0,97.41,83.8,1522.570000
274,12540.0,47.0,97.41,84.1,1528.590000
275,12570.0,28.0,97.41,84.0,1532.360000
276,12651.0,79.0,97.41,84.6,1542.420000
277,12716.0,63.0,97.42,85.1,1550.340000
278,12835.0,117.0,97.44,82.7,1564.980000
279,13005.0,168.0,97.47,84.1,1585.650000
280,13072.0,65.0,97.47,83.9,1593.990000
281,13112.0,38.0,97.47,83.0,1598.930000
282,13352.0,238.0,97.51,84.6,1628.330000
283,13478.0,124.0,97.53,85.8,1643.880000
284,13487.0,7.0,97.52,85.1,1645.040000
285,13767.0,278.0,97.57,87.8,1679.400000
286,13848.0,79.0,97.58,88.4,1689.250000
287,13904.0,54.0,97.58,88.9,1696.160000
288,14296.0,390.0,97.65,92.0,1744.210000
289,14421.0,123.0,97.66,92.5,1759.550000
290,14456.0,33.0,97.66,91.2,1763.920000
291,14600.0,142.0,97.67,92.4,1781.600000
292,14706.0,104.0,97.68,93.1,1794.560000
293,14902.0,194.0,97.71,95.0,1818.770000
294,14989.0,85.0,97.72,95.7,1829.620000
295,15273.0,282.0,97.76,97.6,1864.730000
296,15347.0,72.0,97.76,96.5,1873.930000
297,15446.0,97.0,97.77,94.1,1886.240000
298,15550.0,102.0,97.78,95.0,1899.120000
299,15559.0,7.0,97.77,94.9,1900.250000
300,15591.0,30.0,97.77,94.3,1904.200000
301,15686.0,93.0,97.77,95.1,1916.070000
302,15765.0,77.0,97.78,95.4,1925.730000
303,15963.0,196.0,97.8,97.3,1950.670000
304,15982.0,17.0,97.8,96.6,1953.060000
305,16003.0,19.0,97.79,96.7,1955.730000
306,16262.0,257.0,97.82,98.6,1987.900000
307,16291.0,27.0,97.82,98.0,1991.420000
308,16302.0,9.0,97.81,98.0,1992.830000
309,16654.0,350.0,97.86,101.1,2036.880000
310,16676.0,20.0,97.86,100.7,2039.660000
311,16741.0,63.0,97.86,101.0,2047.870000
312,16764.0,21.0,97.85,100.5,2050.780000
313,16813.0,47.0,97.85,100.0,2056.930000
314,17019.0,204.0,97.87,101.7,2082.150000
315,17052.0,31.0,97.87,100.8,2086.220000
316,17460.0,406.0,97.92,104.4,2136.380000
317,17551.0,89.0,97.93,104.8,2147.590000
318,17651.0,98.0,97.93,105.1,2160.030000
319,17697.0,44.0,97.93,104.2,2165.670000
320,17721.0,22.0,97.93,103.7,2168.610000
321,17751.0,28.0,97.92,103.3,2172.290000
322,17809.0,56.0,97.92,103.3,2179.580000
323,17878.0,67.0,97.92,103.3,2188.200000
324,17999.0,119.0,97.93,103.4,2203.510000
325,18200.0,199.0,97.95,105.1,2228.540000
326,18215.0,13.0,97.95,103.7,2230.410000
327,18259.0,42.0,97.95,103.8,2236.070000
328,18396.0,135.0,97.96,104.1,2253.480000
329,18531.0,133.0,97.97,104.9,2270.220000
330,18562.0,29.0,97.96,104.0,2274.100000
331,18688.0,124.0,97.97,104.0,2289.590000
332,18871.0,181.0,97.99,105.4,2312.470000
333,18951.0,78.0,97.99,105.4,2322.320000
334,19029.0,76.0,97.99,105.0,2331.940000
335,19041.0,10.0,97.99,104.9,2333.470000
336,19069.0,26.0,97.98,105.0,2336.910000
337,19156.0,85.0,97.99,104.8,2347.550000
338,19487.0,329.0,98.02,104.7,2388.310000
339,19596.0,107.0,98.03,105.6,2401.670000
340,19634.0,36.0,98.02,105.6,2406.430000
341,19657.0,21.0,98.02,104.1,2409.270000
342,19678.0,19.0,98.01,102.0,2411.840000
343,19885.0,205.0,98.03,102.9,2437.340000
